player_id,nickname,realname,age,nationality
15160,NEX,Michael Nguyen,24,United States
15161,fReaL,Freal Dela Cruz,25,United States
15162,MEra,Marco Datuin,22,United States
15163,gps,Diego Pita,,Peru
15164,SEN1K,David Seničić,20,Serbia
15165,blameF,Benjamin Bremer,22,Denmark
15166,Chr1s,Christopher Andersen,18,Denmark
15167,Kronow,Christian Kronow,22,Denmark
15168,fylz,Egidijus Žilis,,Lithuania
15169,radon,Matas Radzevičius,,Lithuania
15170,wentox,Dovydas Tamulis,,Lithuania
15171,Wulferino,Lukas Janulis,22,Lithuania
15172,siz,Slimen Zneidi,20,Tunisia
15173,stev,Steven Cooc,21,United States
15174,Bubbert,Cory MacFarlane,,Canada
15175,SJP,SJ Park,21,United States
15176,Cryptic,Matthew Whitmore,19,United States
15177,Christoffer,Christopher Chung,27,Hong Kong
15178,VILKSU,Ville Hietamäki,,Finland
15179,AKE,Leevi Kovalainen,,Finland
15180,Twixie,Samuli Herrala,17,Finland
15181,zealot,Magnus Angard,,Norway
15182,iNTERP,Niclas Waagan,21,Norway
15183,Saidonz,Ole Christensen,,Norway
15184,KazoKir,Elias Sætren,,Norway
15185,pheopix,Øystein Lønsethagen,,Norway
15186,maLeK,Damien Marcel,34,France
15187,nejk,Artur Nakielny,19,Poland
15188,sy,Simon Raković,27,Slovenia
15189,m3phIst0,Žiga Pišek,28,Slovenia
15190,celezi,Jernej Celestina,24,Slovenia
15191,ownchi,Tomaž Špehar,26,Slovenia
15192,MrJurich,Toni Jurić,,Croatia
15193,Crackhead,Josip Ćurković,20,Croatia
15194,1annN,Jan Naglič Orehar,18,Slovenia
15195,Beeeno,,,Slovenia
15196,PORKAAA,Žan Jančar,24,Slovenia
15197,BRLE,Frane Brletić,19,Croatia
15198,biohazard,Pavle Nikic,22,Serbia
15199,PAiN,Filip Koprčina,19,Croatia
15200,darien,Majski Botica,19,Croatia
15201,pacovv,Zvonimir Roso,19,Croatia
15202,yellow flash,Ivan Šego,20,Croatia
15203,reiko,Kamil Cegiełko,20,Poland
15204,Vegi,Arek Nawojski,19,Poland
15205,facelifter,Kacper Cegła,22,Poland
15206,yukiiii,Patryk Gregorarz,,Poland
15207,Axii,Adrian Janczarek,18,Poland
15208,splawik,Łukasz Jahns,18,Poland
15209,blade,Anibal Livramento,28,Argentina
15210,AreoX,Kaweil Khanfour,,France
15211,nems,Antoine Vioules,,France
15212,russ,Batuhan Malgaç,20,Turkey
15213,ruffian,Emre Tutçalı,21,Turkey
15214,ELOSSA,Hüseyin Tüysüz,23,Turkey
15215,PROV,Mustafa Demirman,28,Turkey
15216,ASERE,Alecu Radu,,Romania
15217,kazeMM,Cimpeanu Cristian,,Romania
15218,ExperiencE,Cojocaru Mihail,21,Romania
15219,franSerA,Iosif Alexandru,,Romania
15220,whocares,Vlad Stefi,,Romania
15221,peqexino,Agustin Cáceres,23,Argentina
15222,Nata,Cristian Cisnero,,Argentina
15223,Chocolates,,,United States
15224,ManBearPig,,,United States
15225,smashbaw,,,United States
15226,Klokur,,,United States
15227,BigDaddyLemon,,,United States
15228,Matty,,,United States
15229,nero,Matthew Seymour,,United States
15230,lee_sb,Nathan Lee,,United States
15231,Mexicaniese,Juan Garcia,,United States
15232,and1,Andres Lanzi,,Argentina
15233,jotti,Matias Kierzner,,Argentina
15234,Vulcanium,,,United States
15235,Star1x,,,Canada
15236,NANO,Francis Tremblay,20,Canada
15237,Skonny,,,Canada
15238,MNZ,,,Canada
15239,Parars,,,United States
15240,1mpulse,,,United States
15241,Lbm,,,United States
15242,Grind,,,United States
15243,Tagz,Tony Taggart,21,United States
15244,CMX,Chris Moe,18,United States
15245,niche,Michael Marvin,23,United States
15246,faceLess,,,United States
15247,b0ssy,Muhtadi Irq,22,Canada
15249,Fade,Fadi Al-Najjar,,United States
15250,Drezy,,,Canada
15251,bootyovergames,Jordan Philips,22,Canada
15252,H8LESS,Cristian Mihail,31,Canada
15253,meander_z,Jeffery Gucken,,United States
15254,poisinmunkee,,,United States
15255,Swahn,Christopher Swahn,22,United States
15256,sky^^,,,United States
15257,RUSHIT,Leonardo Orfano,,Argentina
15258,ABRAHAM,Abraham Bruzzone,24,Argentina
15259,JAIRZ1NHO,Jair Bruzzone,,Argentina
15260,murchi,Kousuke Taki,25,Japan
15261,ikinoko,Takahito Iijima,24,Japan
15262,mohamed,Shingo Yamaguchi,25,Japan
15263,thx,Masaya Tamanaha,27,Japan
15264,Fisker,Hideki Sasaki,23,Japan
15265,aum101,Masahiro Morisaki,22,Japan
15266,REGN,Shoma Miura,19,Japan
15267,Type,Kazuki Susa,24,Japan
15268,taka193b,Takayuki Hirasawa,27,Japan
15269,Subbey,Shamir Zaman,22,Malaysia
15270,Mox,Zareel Afiq,24,Malaysia
15271,que,Aashique Raiid,24,Malaysia
15272,Hydraxis,Muhd Syazrull,25,Malaysia
